dtg,username,name,email,role,page_accessed
2025-04-05 01:51:32.329840,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 01:57:15.352341,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:00:33.467278,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:02:25.190592,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:02:41.593203,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:03:23.646762,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:03:40.402957,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:03:58.796048,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:05:16.246368,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:05:45.754305,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:05:45.801884,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:05:46.319012,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:09:50.253631,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:09:57.464786,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 2
2025-04-05 02:09:57.736114,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 2
2025-04-05 02:10:02.301014,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:10:02.575224,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:10:03.393018,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 4
2025-04-05 02:10:03.659764,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 4
2025-04-05 02:10:04.837385,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:10:05.110585,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:10:05.574591,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:10:05.846940,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:10:07.118482,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:10:07.549568,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:10:08.859969,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:10:09.149153,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:10:12.206814,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:10:12.632187,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:10:13.735883,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 2
2025-04-05 02:10:14.024604,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 2
2025-04-05 02:10:15.481855,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:10:15.762458,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:10:16.422449,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:10:16.674076,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:10:17.337093,jseed,Johnny Appleseed,jseed@gmail.com,admin,User Profile
2025-04-05 02:10:17.597389,jseed,Johnny Appleseed,jseed@gmail.com,admin,User Profile
2025-04-05 02:10:31.054246,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:10:33.389265,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:10:33.588099,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:20.550335,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:30.358003,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:30.400868,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:32.974197,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:33.714346,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:33.754005,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:40.514454,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:42.782464,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:44.657728,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:44.698393,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:11:49.576059,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:12:28.297054,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:13:45.656774,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:14:07.021041,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:15:58.275336,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:17:39.727342,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:17:41.007054,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:17:41.212510,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:17:42.575103,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 4
2025-04-05 02:17:42.848051,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 4
2025-04-05 02:17:43.388981,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:17:43.649140,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:17:56.658269,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:17:57.088218,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:18:02.311388,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:18:02.602958,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:18:04.029328,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 2
2025-04-05 02:18:04.296015,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 2
2025-04-05 02:18:05.263314,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:18:05.519883,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:18:06.541828,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 4
2025-04-05 02:18:06.805829,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 4
2025-04-05 02:18:07.691356,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:18:07.969574,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:18:08.488601,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:18:08.757731,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:18:10.506298,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:18:10.717255,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:18:21.980453,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:18:22.167049,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:18:23.004409,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:18:23.263561,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:19:58.362356,jseed,Johnny Appleseed,jseed@gmail.com,admin,Admin Page
2025-04-05 02:20:02.049561,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:20:02.324616,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 6
2025-04-05 02:20:02.893845,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:20:03.153128,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 5
2025-04-05 02:20:04.158644,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 4
2025-04-05 02:20:04.424270,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 4
2025-04-05 02:20:05.150666,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:20:05.412204,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 3
2025-04-05 02:20:06.109120,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 2
2025-04-05 02:20:06.391935,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 2
2025-04-05 02:20:06.871941,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:20:07.138351,jseed,Johnny Appleseed,jseed@gmail.com,admin,Example Application 1
2025-04-05 02:20:08.298208,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
2025-04-05 02:20:08.709765,jseed,Johnny Appleseed,jseed@gmail.com,admin,Landing Page
